customer_id,signup_date,age,gender,city,last_order_date,total_orders,total_revenue,avg_order_value,days_since_last_order,churn_180d
C1000,2023-07-07,47,Female,Pune,2025-03-17,3,575.03,191.68,168.0,0
C1001,2026-04-19,31,Male,Chennai,2023-06-04,1,613.03,613.03,820.0,1
C1002,2024-06-10,37,Female,Delhi,2025-01-05,9,5897.81,655.31,239.0,1
C1003,2024-01-01,66,Male,Hyderabad,2025-02-13,5,2593.03,518.61,200.0,1
C1004,2023-03-09,42,Female,Hyderabad,2024-07-10,2,1795.9,897.95,418.0,1
C1005,2023-03-09,57,Female,Mumbai,2025-08-13,6,5903.59,983.93,19.0,0
C1006,2023-01-24,41,Female,Mumbai,2025-01-31,5,2399.79,479.96,213.0,1
C1007,2025-03-15,31,Female,Delhi,2025-08-21,11,6452.08,586.55,11.0,0
C1008,2024-01-03,43,Male,Pune,2025-02-08,5,4443.4,888.68,205.0,1
C1009,2024-05-07,55,Female,Noida,2025-05-16,3,1587.91,529.3,108.0,0
C1010,2023-01-09,40,Male,Bengaluru,2025-06-09,7,2847.89,406.84,84.0,0
C1011,2026-11-02,39,Female,Kolkata,2025-02-03,7,2531.14,361.59,210.0,1
C1012,2024-12-15,65,Male,Bengaluru,2024-11-06,3,1070.62,356.87,299.0,1
C1013,2023-04-06,36,Female,Bengaluru,2025-06-24,7,7048.3,1006.9,69.0,0
C1014,2023-03-22,63,Female,Hyderabad,2024-11-13,6,4241.76,706.96,292.0,1
C1015,2023-03-23,68,Female,Kolkata,2025-07-29,7,1275.42,182.2,34.0,0
C1016,2023-05-26,20,Female,Hyderabad,2025-06-09,5,2556.22,511.24,84.0,0
C1017,2023-10-25,59,Female,Noida,2025-06-12,4,2997.76,749.44,81.0,0
C1018,2023-08-15,36,Female,Kolkata,2025-07-15,4,1685.5,421.37,48.0,0
C1019,2023-05-18,26,Female,Chennai,2024-10-11,4,4032.29,1008.07,325.0,1
C1020,2024-01-14,45,Female,Hyderabad,2025-08-03,7,4223.47,603.35,29.0,0
C1021,2023-03-02,37,Male,Hyderabad,2025-08-25,4,2234.08,558.52,7.0,0
C1022,2023-05-19,62,Other,Hyderabad,2024-05-29,6,781.95,130.33,460.0,1
C1023,2023-07-02,24,Female,Pune,2024-12-25,3,569.14,189.71,250.0,1
C1024,2023-09-01,31,Female,Delhi,2025-05-15,3,2805.76,935.25,109.0,0
C1025,2024-09-07,26,Male,Hyderabad,2024-12-25,2,824.48,412.24,250.0,1
C1026,2023-03-31,36,Male,Noida,2024-09-30,6,180.48,30.08,336.0,1
C1027,2023-10-16,64,Female,Mumbai,2025-04-04,7,8505.91,1215.13,150.0,0
C1028,2023-12-26,69,Male,Mumbai,2024-08-06,3,671.44,223.81,391.0,1
C1029,2023-01-20,31,Female,Kolkata,2025-04-01,7,2606.77,372.4,153.0,0
C1030,2024-01-10,55,Female,Chennai,2025-07-14,4,4290.38,1072.6,49.0,0
C1031,2023-03-16,53,Male,Delhi,2025-07-26,8,5103.41,637.93,37.0,0
C1032,2023-01-27,57,Female,Pune,2025-06-17,4,1186.66,296.66,76.0,0
C1033,2026-04-04,34,Female,Kolkata,2025-07-15,3,896.6,298.87,48.0,0
C1034,2026-09-10,47,Female,Mumbai,2024-05-05,4,5444.34,1361.08,484.0,1
C1035,2024-10-22,26,Female,Delhi,2024-11-25,3,1539.42,513.14,280.0,1
C1036,2023-05-26,50,Male,Delhi,2025-08-18,7,2845.1,406.44,14.0,0
C1037,2023-02-11,69,Female,Chennai,2024-03-21,6,3788.61,631.44,529.0,1
C1038,2024-04-06,42,Male,Noida,2024-11-28,3,1457.56,485.85,277.0,1
C1039,2023-08-21,31,Female,Delhi,2025-03-14,4,1546.47,386.62,171.0,0
C1040,2023-02-22,28,Female,Hyderabad,2025-07-21,8,4723.0,590.37,42.0,0
C1041,2023-10-01,52,Male,Delhi,2025-07-02,6,4931.21,821.87,61.0,0
C1042,2023-01-14,58,Female,Chennai,2025-08-04,5,3222.26,644.45,28.0,0
C1043,2025-08-18,31,Female,Kolkata,2025-05-15,5,7657.64,1531.53,109.0,0
C1044,2023-04-30,47,Male,Chennai,2025-05-13,8,3429.52,428.69,111.0,0
C1045,2024-03-10,58,Other,Pune,2025-06-23,6,2125.93,354.32,70.0,0
C1046,2023-05-30,21,Male,Chennai,2025-06-06,5,2275.22,455.04,87.0,0
C1047,2023-10-21,21,Male,Mumbai,2025-06-19,11,13223.53,1202.14,74.0,0
C1048,2023-11-13,45,Female,Hyderabad,2025-01-28,6,1897.32,316.22,216.0,1
C1049,2023-03-23,25,Female,Noida,2025-07-04,8,2661.23,332.65,59.0,0
C1050,2026-10-29,19,Female,Mumbai,2025-08-02,6,4999.66,833.28,30.0,0
C1051,2024-08-19,58,Female,Kolkata,2025-08-19,4,6848.71,1712.18,13.0,0
C1052,2026-01-27,63,Female,Bengaluru,2025-01-18,8,4367.33,545.92,226.0,1
C1053,2025-06-19,39,Female,Kolkata,2024-11-01,3,2557.17,852.39,304.0,1
C1054,2023-12-31,58,Male,Hyderabad,2024-07-27,4,2378.67,594.67,401.0,1
C1055,2025-10-16,33,Male,Delhi,2024-04-20,3,2959.35,986.45,499.0,1
C1056,2023-02-07,46,Male,Chennai,2025-07-19,5,1318.56,263.71,44.0,0
C1057,2023-03-29,66,Male,Bengaluru,2025-08-11,8,3409.82,426.23,21.0,0
C1058,2023-01-19,65,Female,Hyderabad,2024-05-26,3,2044.02,681.34,463.0,1
C1059,2023-06-07,47,Male,Mumbai,2025-08-08,7,2803.51,400.5,24.0,0
C1060,2023-07-16,29,Male,Chennai,2025-04-18,3,611.38,203.79,136.0,0
C1061,2023-05-07,52,Male,Kolkata,2025-08-25,9,9466.29,1051.81,7.0,0
C1062,2024-12-06,28,Female,Mumbai,2025-08-19,3,2688.53,896.18,13.0,0
C1063,2023-06-26,63,Female,Hyderabad,2024-07-23,5,1199.31,239.86,405.0,1
C1064,2023-05-12,67,Female,Hyderabad,2025-08-30,4,-684.09,-171.02,2.0,0
C1065,2023-11-09,38,Female,Kolkata,2025-07-09,7,4234.16,604.88,54.0,0
C1066,2023-03-02,38,Female,Bengaluru,2025-05-27,3,1866.59,622.2,97.0,0
C1067,2024-10-10,22,Female,Kolkata,2024-08-14,4,687.47,171.87,383.0,1
C1068,2023-01-31,65,Male,Delhi,2024-04-13,6,7099.88,1183.31,506.0,1
C1069,2027-09-30,37,Female,Mumbai,2025-08-07,6,5070.08,845.01,25.0,0
C1070,2024-08-14,54,Female,Bengaluru,2024-09-25,4,2287.14,571.78,341.0,1
C1071,2023-03-30,20,Female,Chennai,2024-10-22,6,2431.38,405.23,314.0,1
C1072,2023-01-03,61,Female,Pune,2025-08-19,5,4393.98,878.8,13.0,0
C1073,2024-11-06,50,Female,Delhi,2025-08-15,6,2368.07,394.68,17.0,0
C1074,2024-05-05,26,Female,Bengaluru,2023-01-30,1,342.21,342.21,945.0,1
C1075,2024-06-06,26,Female,Pune,2025-07-10,5,2144.42,428.88,53.0,0
